10.000 0.834 0.834 1.000 0.019
11.000 0.841 0.841 1.000 0.028
12.000 0.924 0.924 1.000 0.040
13.000 0.942 0.942 1.000 0.053
14.000 0.936 0.936 1.000 0.068
15.000 0.952 0.952 1.000 0.090
16.000 0.964 0.964 1.000 0.121
17.000 0.959 0.959 1.000 0.159
18.000 0.970 0.970 1.000 0.212
19.000 0.978 0.978 1.000 0.279
20.000 0.976 0.976 1.000 0.331
21.000 0.985 0.985 1.000 0.474
22.000 0.989 0.989 1.000 0.587
23.000 0.990 0.990 1.000 0.621
24.000 0.991 0.991 1.000 0.950
25.000 0.992 0.992 1.000 0.803
26.000 0.998 0.998 1.000 0.966
27.000 0.994 0.994 1.000 1.833
28.000 0.999 0.999 1.000 1.503
29.000 0.999 0.999 1.000 1.749
30.000 0.999 0.999 1.000 2.632
31.000 0.999 0.999 1.000 2.879
32.000 1.000 1.000 1.000 3.702
33.000 1.000 1.000 1.000 4.588
34.000 1.000 1.000 1.000 5.260
35.000 1.000 1.000 1.000 5.646
36.000 1.000 1.000 1.000 5.945
37.000 1.000 1.000 1.000 7.454
38.000 1.000 1.000 1.000 9.177
39.000 1.000 1.000 1.000 10.653
40.000 1.000 1.000 1.000 12.164
