10.000 0.721 0.361 2.000 0.022
11.000 0.805 0.403 2.000 0.030
12.000 1.241 0.621 2.000 0.044
13.000 1.341 0.670 2.000 0.047
14.000 1.365 0.682 2.000 0.068
15.000 1.473 0.736 2.000 0.087
16.000 1.729 0.864 2.000 0.115
17.000 1.521 0.761 2.000 0.154
18.000 1.738 0.869 2.000 0.200
19.000 1.750 0.875 2.000 0.267
20.000 1.739 0.869 2.000 0.350
21.000 1.754 0.877 2.000 0.451
22.000 1.885 0.943 2.000 0.586
23.000 1.895 0.947 2.000 0.713
24.000 1.895 0.947 2.000 0.826
25.000 1.905 0.953 2.000 0.803
26.000 1.938 0.969 2.000 1.172
27.000 1.909 0.954 2.000 1.222
28.000 1.940 0.970 2.000 1.479
29.000 1.945 0.972 2.000 2.056
30.000 1.942 0.971 2.000 2.190
31.000 1.945 0.973 2.000 2.833
32.000 1.958 0.979 2.000 3.294
33.000 1.966 0.983 2.000 3.954
34.000 1.960 0.980 2.000 4.480
35.000 1.967 0.984 2.000 5.579
36.000 1.973 0.986 2.000 6.409
37.000 1.969 0.984 2.000 7.999
38.000 1.974 0.987 2.000 8.696
39.000 1.976 0.988 2.000 10.664
40.000 1.974 0.987 2.000 12.089
