10.000 1.407 0.469 3.000 0.021
11.000 1.533 0.511 3.000 0.026
12.000 1.900 0.633 3.000 0.036
13.000 2.186 0.729 3.000 0.047
14.000 2.138 0.713 3.000 0.068
15.000 2.222 0.741 3.000 0.091
16.000 2.510 0.837 3.000 0.121
17.000 2.248 0.749 3.000 0.161
18.000 2.565 0.855 3.000 0.209
19.000 2.618 0.873 3.000 0.276
20.000 2.590 0.863 3.000 0.285
21.000 2.648 0.883 3.000 0.315
22.000 2.839 0.946 3.000 0.371
23.000 2.854 0.951 3.000 0.496
24.000 2.851 0.950 3.000 0.607
25.000 2.866 0.955 3.000 0.896
26.000 2.928 0.976 3.000 1.180
27.000 2.874 0.958 3.000 1.220
28.000 2.932 0.977 3.000 1.558
29.000 2.937 0.979 3.000 2.035
30.000 2.938 0.979 3.000 2.619
31.000 2.940 0.980 3.000 2.857
32.000 2.958 0.986 3.000 3.472
33.000 2.964 0.988 3.000 3.929
34.000 2.962 0.987 3.000 5.264
35.000 2.967 0.989 3.000 5.775
36.000 2.970 0.990 3.000 7.864
37.000 2.968 0.989 3.000 9.188
38.000 2.973 0.991 3.000 11.460
39.000 2.976 0.992 3.000 12.127
40.000 2.974 0.991 3.000 11.967
